,第1回,第2回,第3回,第4回,第5回,第6回,第7回,第8回,第9回,第10回,第11回,第12回,第13回,第14回,第15回,第16回,第17回,第18回,第19回,第20回,第21回,第22回,第23回,第24回,第25回,第26回,第27回,第28回,第29回,第30回,第31回,第32回,第33回,第34回,第35回,第36回,第37回,第38回,第39回,第40回,第41回,第42回,第43回,第44回,第45回,第46回,第47回,第48回,第49回,第50回,第51回,第52回,第53回,第54回,第55回,第56回,第57回,第58回,第59回,第60回,第61回,第62回,第63回,第64回,第65回,第66回,第67回,第68回,第69回,第70回,第71回,第72回,第73回,第74回,第75回,第76回,第77回,第78回,第79回,第80回,第81回,第82回,第83回,第84回,第85回,第86回,第87回,第88回,第89回,第90回,第91回,第92回,第93回,第94回,第95回,第96回,第97回,第98回,第99回,第100回,第101回,第102回,第103回,第104回,第105回,第106回,第107回,第108回,第109回,第110回,第111回,第112回,第113回,第114回,第115回,第116回,第117回,第118回,第119回,第120回
1,"('甄士隐', 31)","('贾雨村', 36)","('林黛玉', 46)","('贾雨村', 25)","('贾宝玉', 53)","('刘姥姥', 61)","('王熙凤', 33)","('贾宝玉', 77)","('贾宝玉', 34)","('尤氏', 11)","('王熙凤', 63)","('王熙凤', 34)","('贾珍', 27)","('王熙凤', 44)","('贾宝玉', 55)","('王熙凤', 31)","('贾宝玉', 46)","('贾宝玉', 39)","('贾宝玉', 114)","('贾宝玉', 53)","('贾宝玉', 49)","('贾宝玉', 40)","('贾宝玉', 53)","('贾芸', 46)","('贾宝玉', 45)","('贾宝玉', 68)","('贾宝玉', 29)","('贾宝玉', 94)","('贾母', 40)","('贾宝玉', 68)","('贾宝玉', 58)","('贾宝玉', 32)","('贾宝玉', 35)","('贾宝玉', 42)","('贾宝玉', 69)","('贾宝玉', 45)","('贾宝玉', 42)","('王熙凤', 23)","('刘姥姥', 36)","('金鸳鸯', 63)","('刘姥姥', 48)","('刘姥姥', 22)","('贾宝玉', 34)","('王熙凤', 61)","('王熙凤', 24)","('金鸳鸯', 48)","('柳湘莲', 41)","('香菱', 39)","('贾宝玉', 36)","('史湘云', 38)","('贾宝玉', 40)","('贾宝玉', 75)","('贾母', 31)","('贾宝玉', 34)","('贾探春', 39)","('贾宝玉', 43)","('贾宝玉', 58)","('贾宝玉', 42)","('春燕', 12)","('芳官', 30)","('平儿', 24)","('贾宝玉', 74)","('贾宝玉', 57)","('贾琏', 52)","('贾琏', 35)","('柳湘莲', 38)","('王熙凤', 54)","('王熙凤', 37)","('王熙凤', 43)","('贾宝玉', 46)","('王熙凤', 32)","('贾琏', 38)","('贾迎春', 27)","('王熙凤', 58)","('贾母', 32)","('史湘云', 38)","('贾宝玉', 78)","('贾宝玉', 65)","('贾宝玉', 26)","('香菱', 39)","('贾宝玉', 65)","('贾宝玉', 69)","('林黛玉', 24)","('贾宝玉', 49)","('贾宝玉', 66)","('贾宝玉', 23)","('贾宝玉', 40)","('王熙凤', 38)","('贾宝玉', 67)","('王熙凤', 28)","('贾宝玉', 30)","('冯紫英', 32)","('贾琏', 28)","('贾宝玉', 38)","('贾宝玉', 44)","('贾宝玉', 50)","('林黛玉', 54)","('贾宝玉', 62)","('李十儿', 25)","('贾宝玉', 15)","('王熙凤', 71)","('贾珍', 12)","('香菱', 44)","('贾雨村', 22)","('贾政', 23)","('贾母', 15)","('贾母', 35)","('贾宝玉', 52)","('贾宝玉', 69)","('王熙凤', 52)","('金鸳鸯', 21)","('贾琏', 31)","('刘姥姥', 36)","('贾宝玉', 23)","('贾宝玉', 68)","('贾宝玉', 76)","('贾宝玉', 39)","('贾宝玉', 54)","('王夫人', 71)","('贾宝玉', 39)"
2,"('贾雨村', 17)","('封肃', 8)","('贾宝玉', 32)","('门子', 19)","('秦可卿', 10)","('王熙凤', 28)","('贾宝玉', 26)","('薛姨妈', 18)","('秦钟', 22)","('贾珍', 10)","('王夫人', 20)","('贾瑞', 21)","('王熙凤', 24)","('贾宝玉', 14)","('王熙凤', 33)","('贾琏', 27)","('贾政', 24)","('贾母', 24)","('袭人', 24)","('林黛玉', 18)","('贾琏', 29)","('贾母', 31)","('林黛玉', 16)","('贾宝玉', 39)","('林黛玉', 30)","('贾芸', 20)","('林黛玉', 19)","('林黛玉', 52)","('贾宝玉', 39)","('林黛玉', 29)","('史湘云', 37)","('林黛玉', 25)","('贾政', 13)","('袭人', 23)","('白玉钏', 21)","('王熙凤', 20)","('史湘云', 24)","('史湘云', 19)","('平儿', 30)","('刘姥姥', 60)","('贾宝玉', 23)","('王熙凤', 16)","('王熙凤', 28)","('平儿', 51)","('贾宝玉', 21)","('王熙凤', 28)","('薛蟠', 28)","('贾宝玉', 11)","('史湘云', 27)","('贾宝玉', 28)","('晴雯', 30)","('晴雯', 44)","('贾珍', 24)","('贾母', 33)","('平儿', 27)","('贾探春', 24)","('紫鹃', 28)","('芳官', 20)","('贾宝玉', 9)","('贾宝玉', 24)","('贾宝玉', 15)","('香菱', 38)","('袭人', 26)","('贾宝玉', 39)","('贾珍', 16)","('贾琏', 31)","('兴儿', 36)","('尤二姐', 19)","('贾琏', 35)","('林黛玉', 15)","('贾母', 27)","('王熙凤', 32)","('贾探春', 20)","('王夫人', 24)","('尤氏', 32)","('贾母', 23)","('王夫人', 45)","('王夫人', 17)","('香菱', 18)","('夏金桂', 31)","('王夫人', 20)","('林黛玉', 45)","('紫鹃', 21)","('贾母', 38)","('薛姨妈', 24)","('薛姨妈', 21)","('林黛玉', 19)","('贾芸', 23)","('林黛玉', 20)","('林黛玉', 23)","('薛姨妈', 23)","('贾宝玉', 22)","('贾芹', 18)","('王夫人', 21)","('贾母', 31)","('林黛玉', 34)","('贾宝玉', 45)","('林黛玉', 40)","('贾政', 19)","('夏金桂', 12)","('贾琏', 23)","('贾赦', 11)","('薛姨妈', 26)","('贾宝玉', 19)","('赵堂官', 12)","('王熙凤', 13)","('贾赦', 13)","('贾母', 49)","('贾母', 36)","('金鸳鸯', 24)","('包勇', 12)","('林之孝', 18)","('王熙凤', 33)","('贾琏', 12)","('甄宝玉', 30)","('金鸳鸯', 14)","('王夫人', 36)","('王夫人', 38)","('平儿', 36)","('贾雨村', 22)"
3,"('封肃', 5)","('冷子兴', 6)","('王夫人', 20)","('拐子', 17)","('薛宝钗', 5)","('王板儿', 15)","('王夫人', 14)","('林黛玉', 15)","('金荣', 18)","('贾蓉', 9)","('尤氏', 16)","('贾代儒', 4)","('王夫人', 14)","('北静王', 10)","('秦钟', 19)","('贾宝玉', 25)","('贾珍', 11)","('王夫人', 14)","('林黛玉', 16)","('王熙凤', 8)","('平儿', 27)","('林黛玉', 26)","('王夫人', 14)","('王熙凤', 14)","('王夫人', 28)","('林黛玉', 18)","('王熙凤', 18)","('薛蟠', 17)","('林黛玉', 34)","('金钏', 14)","('翠缕', 21)","('史湘云', 20)","('王夫人', 12)","('薛宝钗', 17)","('王熙凤', 20)","('袭人', 20)","('贾探春', 18)","('贾宝玉', 16)","('贾宝玉', 23)","('贾母', 44)","('贾母', 20)","('贾母', 14)","('贾母', 21)","('贾琏', 32)","('林黛玉', 11)","('邢夫人', 25)","('贾母', 22)","('薛姨妈', 11)","('王熙凤', 18)","('贾母', 19)","('王熙凤', 18)","('坠儿', 11)","('贾蓉', 15)","('王熙凤', 33)","('王熙凤', 20)","('贾母', 12)","('薛姨妈', 27)","('晴雯', 10)","('袭人', 6)","('赵姨娘', 22)","('柳五儿', 15)","('贾探春', 36)","('晴雯', 22)","('贾珍', 20)","('尤二姐', 15)","('贾宝玉', 11)","('贾宝玉', 20)","('贾蓉', 16)","('尤二姐', 28)","('贾探春', 14)","('金鸳鸯', 26)","('金鸳鸯', 27)","('贾母', 16)","('贾宝玉', 23)","('贾珍', 16)","('林黛玉', 13)","('晴雯', 37)","('晴雯', 14)","('薛蟠', 11)","('薛蟠', 29)","('贾母', 15)","('紫鹃', 22)","('贾母', 20)","('王熙凤', 27)","('袭人', 18)","('林黛玉', 10)","('妙玉', 19)","('贾母', 17)","('紫鹃', 18)","('紫鹃', 20)","('夏金桂', 20)","('贾母', 12)","('贾宝玉', 17)","('袭人', 16)","('王夫人', 26)","('王夫人', 32)","('紫鹃', 44)","('贾母', 28)","('贾宝玉', 11)","('香菱', 11)","('贾宝玉', 21)","('贾宝玉', 9)","('宝蟾', 20)","('贾政', 14)","('贾赦', 11)","('贾琏', 12)","('贾政', 12)","('金鸳鸯', 30)","('柳五儿', 31)","('贾母', 13)","('林之孝', 10)","('贾政', 15)","('贾宝玉', 29)","('平儿', 9)","('王夫人', 26)","('王夫人', 13)","('薛宝钗', 12)","('薛宝钗', 16)","('贾宝玉', 35)","('薛姨妈', 18)"
4,"('香菱', 5)","('林如海', 4)","('贾母', 18)","('薛蟠', 13)","('贾母', 4)","('贾宝玉', 14)","('焦大', 10)","('李嬷嬷', 12)","('贾瑞', 9)","('冯紫英', 5)","('秦可卿', 15)","('贾蓉', 4)","('贾宝玉', 11)","('贾珍', 7)","('智能', 16)","('秦钟', 13)","('贾琏', 3)","('林黛玉', 11)","('花自芳', 8)","('贾环', 7)","('王熙凤', 22)","('史湘云', 16)","('贾琏', 12)","('贾琏', 10)","('赵姨娘', 24)","('坠儿', 15)","('薛宝钗', 18)","('王夫人', 16)","('张道士', 23)","('王夫人', 9)","('晴雯', 20)","('袭人', 17)","('小厮', 12)","('林黛玉', 16)","('薛姨妈', 19)","('王夫人', 18)","('贾迎春', 16)","('贾母', 16)","('贾母', 23)","('王熙凤', 42)","('妙玉', 17)","('林黛玉', 13)","('王夫人', 13)","('贾母', 22)","('赖嬷嬷', 9)","('平儿', 22)","('王熙凤', 19)","('薛宝钗', 10)","('林黛玉', 14)","('薛宝琴', 17)","('袭人', 7)","('贾母', 10)","('尤氏', 11)","('秋纹', 9)","('赵姨娘', 16)","('平儿', 12)","('林黛玉', 26)","('林黛玉', 9)","('平儿', 5)","('贾探春', 13)","('林之孝', 13)","('袭人', 26)","('芳官', 16)","('贾蓉', 16)","('尤三姐', 15)","('尤二姐', 11)","('林黛玉', 19)","('尤氏', 13)","('贾母', 22)","('薛宝钗', 11)","('尤氏', 20)","('平儿', 15)","('贾宝玉', 15)","('贾探春', 23)","('贾宝玉', 12)","('翠缕', 8)","('袭人', 19)","('恒王', 11)","('夏金桂', 8)","('贾宝玉', 23)","('贾探春', 13)","('贾探春', 11)","('贾探春', 17)","('王夫人', 20)","('北静王', 16)","('薛蟠', 10)","('雪雁', 11)","('贾珍', 17)","('小丫头', 11)","('侍书', 19)","('宝蟾', 18)","('司棋', 10)","('贾赦', 14)","('贾母', 15)","('王熙凤', 15)","('贾母', 24)","('贾母', 32)","('薛宝钗', 24)","('贾母', 8)","('贾探春', 10)","('平儿', 19)","('贾探春', 8)","('贾琏', 19)","('倪二', 14)","('贾琏', 10)","('贾政', 11)","('贾珍', 11)","('史湘云', 20)","('薛宝钗', 27)","('邢夫人', 11)","('王熙凤', 10)","('妙玉', 15)","('平儿', 28)","('甄应嘉', 9)","('贾政', 15)","('林黛玉', 10)","('贾琏', 11)","('邢夫人', 11)","('刘姥姥', 23)","('贾政', 17)"
5,"('石头', 4)","('甄家娘子', 4)","('贾雨村', 12)","('王夫人', 12)","('林黛玉', 4)","('平儿', 10)","('尤氏', 10)","('贾母', 11)","('李贵', 9)","('贾宝玉', 5)","('邢夫人', 12)","('贾母', 3)","('邢夫人', 7)","('昭儿', 5)","('北静王', 11)","('赵嬷嬷', 13)","('贾母', 3)","('贾政', 9)","('李嬷嬷', 6)","('李嬷嬷', 7)","('史湘云', 15)","('王熙凤', 14)","('王熙凤', 8)","('倪二', 10)","('贾母', 23)","('冯紫英', 10)","('贾探春', 13)","('薛宝钗', 15)","('贾珍', 22)","('王熙凤', 7)","('袭人', 18)","('王夫人', 14)","('贾母', 10)","('王夫人', 16)","('薛宝钗', 17)","('林黛玉', 13)","('袭人', 15)","('金鸳鸯', 12)","('王熙凤', 11)","('王夫人', 17)","('王熙凤', 15)","('贾宝玉', 11)","('尤氏', 11)","('贾宝玉', 12)","('平儿', 9)","('贾宝玉', 17)","('薛姨妈', 18)","('薛蟠', 10)","('贾母', 12)","('王熙凤', 16)","('王夫人', 4)","('小丫头', 7)","('贾宝玉', 10)","('小丫头', 9)","('王夫人', 8)","('王夫人', 5)","('贾母', 23)","('史湘云', 7)","('贾母', 4)","('柳五儿', 13)","('司棋', 11)","('史湘云', 23)","('林黛玉', 12)","('林黛玉', 15)","('兴儿', 11)","('尤三姐', 9)","('来旺儿', 15)","('来旺儿', 9)","('平儿', 16)","('薛宝琴', 9)","('林之孝', 17)","('彩霞', 9)","('邢夫人', 15)","('王善保', 22)","('贾探春', 12)","('王夫人', 7)","('贾迎春', 12)","('林四娘', 10)","('贾迎春', 6)","('王一贴', 16)","('王熙凤', 9)","('史湘云', 10)","('贾琏', 15)","('薛姨妈', 19)","('贾母', 16)","('张王氏', 7)","('女尼', 7)","('王夫人', 13)","('袭人', 8)","('贾宝玉', 13)","('王夫人', 8)","('王熙凤', 10)","('赖大', 12)","('贾探春', 11)","('袭人', 14)","('王熙凤', 18)","('王熙凤', 29)","('王熙凤', 14)","('王熙凤', 8)","('薛宝钗', 9)","('薛宝钗', 11)","('贾蓉', 7)","('夏金桂', 19)","('贾芸', 11)","('北静王', 8)","('贾宝玉', 6)","('王熙凤', 9)","('王熙凤', 13)","('王夫人', 13)","('贾宝玉', 9)","('贾宝玉', 8)","('王熙凤', 13)","('紫鹃', 18)","('贾巧姐', 6)","('贾琏', 11)","('晴雯', 8)","('袭人', 11)","('平儿', 10)","('邢夫人', 23)","('袭人', 17)"
6,"('封氏', 2)","('贾代善', 3)","('邢夫人', 7)","('冯渊', 6)","('王狗儿', 2)","('王狗儿', 9)","('林黛玉', 9)","('薛宝钗', 10)","('薛蟠', 7)","('金氏', 5)","('贾蓉', 11)","('贾蔷', 3)","('戴权', 6)","('来旺', 4)","('小厮', 9)","('贾赦', 9)","('秦钟', 2)","('贾蔷', 5)","('贾母', 3)","('史湘云', 7)","('袭人', 11)","('薛宝钗', 12)","('贾政', 7)","('邢夫人', 10)","('马道婆', 22)","('薛蟠', 10)","('林红玉', 12)","('蒋玉菡', 11)","('王熙凤', 19)","('薛宝钗', 7)","('林黛玉', 16)","('薛宝钗', 8)","('金钏', 6)","('晴雯', 13)","('贾母', 16)","('薛宝钗', 10)","('薛宝钗', 14)","('林黛玉', 8)","('袭人', 5)","('薛姨妈', 16)","('薛姨妈', 9)","('薛宝钗', 10)","('平儿', 7)","('小丫头', 11)","('薛宝钗', 5)","('贾母', 12)","('金鸳鸯', 13)","('贾探春', 8)","('贾探春', 12)","('薛宝钗', 9)","('平儿', 4)","('薛宝琴', 7)","('王熙凤', 10)","('薛姨妈', 8)","('吴新登', 8)","('史湘云', 5)","('薛宝钗', 14)","('贾母', 6)","('林黛玉', 4)","('贾环', 9)","('白玉钏', 7)","('平儿', 21)","('史湘云', 12)","('尤老娘', 15)","('小厮', 7)","('薛蟠', 5)","('平儿', 15)","('张华', 8)","('秋桐', 16)","('贾母', 8)","('小丫头', 9)","('林之孝', 9)","('晴雯', 8)","('平儿', 16)","('贾赦', 10)","('邢夫人', 6)","('贾母', 5)","('贾母', 9)","('晴雯', 5)","('宝蟾', 11)","('贾政', 8)","('袭人', 8)","('贾赦', 13)","('邢夫人', 12)","('林黛玉', 15)","('小厮', 6)","('紫鹃', 7)","('小丫头', 13)","('侍书', 5)","('平儿', 9)","('薛宝钗', 6)","('袭人', 7)","('王熙凤', 8)","('林黛玉', 11)","('贾琏', 13)","('贾琏', 14)","('薛姨妈', 19)","('王夫人', 11)","('薛蟠', 6)","('贾母', 8)","('王夫人', 9)","('毛半仙', 6)","('王夫人', 12)","('王夫人', 11)","('贾母', 8)","('平儿', 6)","('包勇', 7)","('袭人', 13)","('晴雯', 13)","('王夫人', 8)","('琥珀', 7)","('贾芸', 10)","('贾琏', 13)","('程日兴', 5)","('薛宝钗', 11)","('贾琏', 7)","('贾蔷', 7)","('贾兰', 9)","('贾巧姐', 18)","('王夫人', 16)"
7,"('霍启', 2)","('贾赦', 3)","('小厮', 6)","('香菱', 5)","('小丫头', 2)","('小丫头', 7)","('秦钟', 9)","('秦钟', 7)","('贾菌', 6)","('秦可卿', 5)","('贾宝玉', 10)","('林黛玉', 3)","('秦可卿', 6)","('秦钟', 3)","('贾珍', 7)","('贾母', 7)","('引泉', 2)","('贾赦', 5)","('贾珍', 2)","('薛宝钗', 7)","('林黛玉', 9)","('贾政', 6)","('贾母', 5)","('卜世仁', 8)","('王熙凤', 17)","('林红玉', 8)","('坠儿', 5)","('云儿', 11)","('小厮', 7)","('袭人', 6)","('王夫人', 9)","('金钏', 6)","('王熙凤', 3)","('薛姨妈', 8)","('林黛玉', 16)","('史湘云', 8)","('晴雯', 9)","('薛宝钗', 7)","('小厮', 4)","('贾宝玉', 12)","('王夫人', 8)","('金鸳鸯', 8)","('金鸳鸯', 6)","('尤氏', 8)","('贾探春', 4)","('贾赦', 12)","('邢夫人', 12)","('平儿', 8)","('香菱', 12)","('林黛玉', 8)","('王太医', 4)","('平儿', 6)","('乌进孝', 9)","('王夫人', 7)","('贾宝玉', 5)","('袭人', 3)","('史湘云', 11)","('小丫头', 6)","('晴雯', 4)","('彩云', 8)","('彩云', 7)","('薛宝钗', 14)","('贾蓉', 10)","('贾母', 10)","('鲍二', 6)","('兴儿', 4)","('薛宝钗', 13)","('贾琏', 4)","('张华', 12)","('史湘云', 8)","('邢夫人', 9)","('司棋', 7)","('平儿', 7)","('晴雯', 14)","('王夫人', 9)","('紫鹃', 4)","('司棋', 5)","('小丫头', 8)","('贾赦', 4)","('薛姨妈', 11)","('李纹', 8)","('翠缕', 7)","('王熙凤', 11)","('贾政', 10)","('贾赦', 11)","('蒋玉菡', 5)","('贾探春', 5)","('金鸳鸯', 12)","('雪雁', 5)","('雪雁', 9)","('林黛玉', 5)","('贾琏', 6)","('贾政', 7)","('平儿', 10)","('薛姨妈', 5)","('紫鹃', 13)","('雪雁', 19)","('薛姨妈', 11)","('薛姨妈', 6)","('王夫人', 7)","('贾母', 8)","('王夫人', 5)","('贾雨村', 10)","('林黛玉', 8)","('邢夫人', 8)","('金鸳鸯', 5)","('王夫人', 7)","('薛宝钗', 10)","('贾琏', 12)","('贾琏', 7)","('贾琏', 7)","('赵姨娘', 10)","('王青儿', 10)","('王仁', 5)","('彩屏', 7)","('神瑛侍者', 5)","('小厮', 7)","('贾芸', 9)","('贾兰', 16)","('薛宝钗', 16)"
8,"('神瑛侍者', 2)","('娇杏', 3)","('贾赦', 5)","('贾母', 3)","('玻璃', 1)","('周大娘', 5)","('秦可卿', 8)","('晴雯', 6)","('贾母', 6)","('秦钟', 5)","('贾母', 6)","('王夫人', 3)","('贾蓉', 4)","('王兴媳妇', 3)","('贾赦', 4)","('林黛玉', 7)","('玻璃', 1)","('王熙凤', 5)","('秋纹', 2)","('晴雯', 6)","('四儿', 5)","('贾琏', 5)","('贾探春', 4)","('贾母', 7)","('贾环', 8)","('袭人', 7)","('李宫裁', 3)","('王熙凤', 10)","('薛宝钗', 6)","('贾母', 3)","('薛宝钗', 6)","('贾雨村', 1)","('袭人', 3)","('薛蟠', 5)","('王夫人', 13)","('贾蔷', 5)","('秋纹', 6)","('王夫人', 6)","('贾探春', 3)","('贾探春', 9)","('小丫头', 6)","('王太医', 8)","('袭人', 6)","('邢夫人', 6)","('玻璃', 2)","('袭人', 10)","('贾宝玉', 11)","('林黛玉', 7)","('薛宝钗', 12)","('贾探春', 7)","('小厮', 3)","('金鸳鸯', 5)","('邢夫人', 8)","('史湘云', 7)","('秋纹', 5)","('小厮', 3)","('邢夫人', 10)","('袭人', 5)","('白玉钏', 3)","('春燕', 8)","('芳官', 7)","('林黛玉', 12)","('贾探春', 9)","('王熙凤', 10)","('隆儿', 5)","('金鸳鸯', 3)","('薛蟠', 12)","('贾珍', 4)","('尤氏', 7)","('王夫人', 5)","('太妃', 8)","('来旺儿', 6)","('林之孝', 5)","('入画', 10)","('金鸳鸯', 8)","('贾宝玉', 3)","('芳官', 4)","('贾政', 7)","('林黛玉', 4)","('王夫人', 9)","('袭人', 8)","('贾母', 7)","('薛姨妈', 11)","('平儿', 8)","('王熙凤', 11)","('吴良', 4)","('贾惜春', 5)","('周瑞', 12)","('焙茗', 3)","('宝蟾', 8)","('薛蟠', 4)","('贾赦', 6)","('蒋玉菡', 7)","('林之孝', 9)","('贾探春', 4)","('贾政', 12)","('王夫人', 15)","('贾探春', 9)","('薛宝钗', 5)","('宝蟾', 6)","('丰儿', 6)","('薛宝钗', 5)","('薛宝钗', 8)","('贾探春', 4)","('贾宝玉', 5)","('贾赦', 4)","('贾宝玉', 6)","('薛姨妈', 10)","('袭人', 12)","('薛宝钗', 4)","('贾惜春', 6)","('包勇', 9)","('赵姨娘', 8)","('王熙凤', 5)","('贾惜春', 7)","('薛宝钗', 4)","('小丫头', 7)","('袭人', 8)","('贾琏', 13)","('甄士隐', 13)"
9,"('曹雪芹', 1)","('贾宝玉', 2)","('贾探春', 4)","('贾政', 3)","('琥珀', 1)","('刘氏', 4)","('贾蓉', 6)","('王熙凤', 4)","('香怜', 6)","('金荣', 4)","('贾瑞', 6)","('贾琏', 2)","('尤氏', 4)","('贾赦', 2)","('贾政', 4)","('平儿', 7)","('翠缕', 1)","('薛宝钗', 5)","('尤氏', 2)","('袭人', 6)","('王夫人', 4)","('贾迎春', 5)","('金钏', 4)","('林黛玉', 6)","('彩霞', 7)","('小丫头', 7)","('李氏', 3)","('冯紫英', 9)","('王夫人', 5)","('小丫头', 3)","('金钏', 3)","('金鸳鸯', 1)","('贾珠', 2)","('彩云', 2)","('袭人', 9)","('薛姨妈', 5)","('林黛玉', 4)","('平儿', 6)","('王板儿', 3)","('林黛玉', 8)","('薛宝钗', 6)","('平儿', 7)","('邢夫人', 5)","('林之孝', 5)","('彩明', 2)","('王夫人', 9)","('贾琏', 10)","('张德辉', 7)","('薛宝琴', 12)","('薛姨妈', 5)","('花自芳', 2)","('李贵', 5)","('贾芹', 7)","('贾珍', 6)","('薛宝钗', 5)","('王熙凤', 2)","('王熙凤', 7)","('贾探春', 4)","('金鸳鸯', 3)","('夏婆子', 7)","('王熙凤', 7)","('彩云', 10)","('贾珍', 9)","('俞禄', 10)","('喜儿', 5)","('贾珍', 2)","('小丫头', 11)","('王信', 3)","('胡君荣', 6)","('王熙凤', 5)","('贾宝玉', 7)","('贾环', 5)","('贾政', 4)","('小丫头', 9)","('贾政', 7)","('贾赦', 3)","('邢夫人', 4)","('王熙凤', 7)","('贾母', 3)","('贾迎春', 8)","('林黛玉', 6)","('雪雁', 7)","('贾宝玉', 9)","('小丫头', 6)","('贾芸', 9)","('薛宝钗', 4)","('史湘云', 4)","('鲍二', 9)","('贾代儒', 3)","('贾母', 8)","('贾母', 3)","('小厮', 6)","('女尼', 7)","('贾琏', 8)","('贾政', 4)","('袭人', 9)","('薛宝钗', 15)","('紫鹃', 8)","('林黛玉', 3)","('林黛玉', 6)","('晴雯', 5)","('贾琏', 4)","('甄士隐', 2)","('袭人', 4)","('王熙凤', 5)","('王夫人', 3)","('贾琏', 6)","('小丫头', 9)","('金鸳鸯', 11)","('贾兰', 3)","('妙玉', 6)","('贾惜春', 8)","('丰儿', 6)","('薛宝钗', 5)","('尤氏', 4)","('贾政', 3)","('邢大舅', 7)","('李婶娘', 7)","('皇帝', 12)","('小厮', 5)"
10,"('金鸳鸯', 1)","('贾氏', 2)","('贾政', 4)","('李氏', 3)","('贾探春', 1)","('王夫人', 3)","('薛姨妈', 6)","('王夫人', 3)","('袭人', 5)","('贾璜', 2)","('贾珍', 6)","('贾宝玉', 1)","('宝珠', 3)","('林黛玉', 2)","('来旺儿', 4)","('香菱', 7)","('李贵', 1)","('邢夫人', 4)","('花大姐姐', 1)","('贾母', 4)","('薛宝钗', 4)","('袭人', 5)","('袭人', 4)","('秋纹', 6)","('薛宝钗', 6)","('李嬷嬷', 5)","('王夫人', 3)","('袭人', 8)","('紫鹃', 5)","('宝官', 2)","('王熙凤', 3)","('缕儿', 1)","('贾环', 1)","('金钏', 2)","('傅秋芳', 4)","('白玉钏', 4)","('贾母', 3)","('琥珀', 5)","('金鸳鸯', 2)","('史湘云', 8)","('金鸳鸯', 5)","('贾珍', 5)","('林之孝', 4)","('王夫人', 4)","('贾母', 2)","('贾琏', 6)","('小厮', 7)","('贾母', 3)","('邢夫人', 9)","('贾惜春', 4)","('贾母', 2)","('王夫人', 5)","('王夫人', 7)","('文官', 6)","('丰儿', 2)","('叶妈', 2)","('王夫人', 6)","('王夫人', 4)","('王夫人', 3)","('平儿', 5)","('袭人', 6)","('林之孝', 10)","('林之孝', 9)","('晴雯', 8)","('王熙凤', 3)","('林黛玉', 2)","('薛姨妈', 11)","('平儿', 2)","('贾蓉', 5)","('小丫头', 5)","('史湘云', 7)","('小丫头', 5)","('傻大姐', 4)","('尤氏', 7)","('邢夫人', 7)","('尤氏', 3)","('四儿', 3)","('秋纹', 4)","('王夫人', 2)","('李贵', 4)","('贾代儒', 3)","('秋纹', 6)","('袭人', 9)","('薛宝钗', 6)","('薛宝钗', 9)","('贾政', 3)","('彩屏', 3)","('平儿', 8)","('贾政', 2)","('丰儿', 4)","('贾政', 3)","('薛姨妈', 5)","('平儿', 6)","('金鸳鸯', 8)","('林黛玉', 4)","('小厮', 3)","('平儿', 14)","('袭人', 6)","('贾探春', 2)","('袭人', 5)","('秋纹', 4)","('晴雯', 3)","('薛宝琴', 1)","('薛宝钗', 4)","('平儿', 4)","('鲍二', 2)","('北静王', 5)","('林黛玉', 7)","('贾政', 9)","('贾蓉', 2)","('平儿', 6)","('邢夫人', 7)","('王夫人', 5)","('秋桐', 3)","('甄夫人', 4)","('袭人', 3)","('贾环', 5)","('赖尚荣', 6)","('贾环', 9)","('曹雪芹', 3)"
